Experiment,14.4
Plot title,(b)

Number of,2
plots

Number of,1001
points

Time,N,Square root of C at cutoff distance
40.5,120.728,121.481
40.6,120.64,121.394
40.7,120.551,121.309
40.8,120.463,121.223
40.9,120.375,121.137
41,120.287,121.052
41.1,120.199,120.967
41.2,120.112,120.882
41.3,120.025,120.798
41.4,119.938,120.713
41.5,119.851,120.629
41.6,119.764,120.545
41.7,119.678,120.462
41.8,119.592,120.378
41.9,119.506,120.295
42,119.42,120.212
42.1,119.335,120.129
42.2,119.249,120.046
42.3,119.164,119.964
42.4,119.079,119.881
42.5,118.995,119.799
42.6,118.91,119.717
42.7,118.826,119.636
42.8,118.742,119.554
42.9,118.658,119.473
43,118.574,119.392
43.1,118.491,119.311
43.2,118.407,119.23
43.3,118.324,119.15
43.4,118.242,119.069
43.5,118.159,118.989
43.6,118.076,118.909
43.7,117.994,118.829
43.8,117.912,118.75
43.9,117.83,118.671
44,117.748,118.591
44.1,117.667,118.512
44.2,117.585,118.434
44.3,117.504,118.355
44.4,117.423,118.277
44.5,117.343,118.198
44.6,117.262,118.12
44.7,117.182,118.042
44.8,117.101,117.965
44.9,117.021,117.887
45,116.942,117.81
45.1,116.862,117.733
45.2,116.782,117.656
45.3,116.703,117.579
45.4,116.624,117.502
45.5,116.545,117.426
45.6,116.466,117.35
45.7,116.388,117.274
45.8,116.309,117.198
45.9,116.231,117.122
46,116.153,117.047
46.1,116.075,116.971
46.2,115.998,116.896
46.3,115.92,116.821
46.4,115.843,116.746
46.5,115.766,116.671
46.6,115.689,116.597
46.7,115.612,116.522
46.8,115.535,116.448
46.9,115.459,116.374
47,115.382,116.3
47.1,115.306,116.227
47.2,115.23,116.153
47.3,115.154,116.08
47.4,115.079,116.007
47.5,115.003,115.934
47.6,114.928,115.861
47.7,114.853,115.788
47.8,114.778,115.715
47.9,114.703,115.643
48,114.628,115.571
48.1,114.554,115.499
48.2,114.479,115.427
48.3,114.405,115.355
48.4,114.331,115.284
48.5,114.257,115.212
48.6,114.184,115.141
48.7,114.11,115.07
48.8,114.037,114.999
48.9,113.964,114.928
49,113.891,114.857
49.1,113.818,114.787
49.2,113.745,114.716
49.3,113.672,114.646
49.4,113.6,114.576
49.5,113.528,114.506
49.6,113.456,114.437
49.7,113.384,114.367
49.8,113.312,114.298
49.9,113.24,114.228
50,113.169,114.159
50.1,113.097,114.09
50.2,113.026,114.021
50.3,112.955,113.953
50.4,112.884,113.884
50.5,112.813,113.816
50.6,112.743,113.747
50.7,112.672,113.679
50.8,112.602,113.611
50.9,112.532,113.543
51,112.462,113.476
51.1,112.392,113.408
51.2,112.322,113.341
51.3,112.252,113.273
51.4,112.183,113.206
51.5,112.114,113.139
51.6,112.044,113.072
51.7,111.975,113.006
51.8,111.907,112.939
51.9,111.838,112.873
52,111.769,112.806
52.1,111.701,112.74
52.2,111.632,112.674
52.3,111.564,112.608
52.4,111.496,112.543
52.5,111.428,112.477
52.6,111.36,112.411
52.7,111.293,112.346
52.8,111.225,112.281
52.9,111.158,112.216
53,111.091,112.151
53.1,111.024,112.086
53.2,110.957,112.021
53.3,110.89,111.957
53.4,110.823,111.892
53.5,110.757,111.828
53.6,110.69,111.764
53.7,110.624,111.7
53.8,110.558,111.636
53.9,110.492,111.572
54,110.426,111.509
54.1,110.36,111.445
54.2,110.295,111.382
54.3,110.229,111.318
54.4,110.164,111.255
54.5,110.098,111.192
54.6,110.033,111.129
54.7,109.968,111.067
54.8,109.903,111.004
54.9,109.839,110.941
55,109.774,110.879
55.1,109.71,110.817
55.2,109.645,110.755
55.3,109.581,110.693
55.4,109.517,110.631
55.5,109.453,110.569
55.6,109.389,110.507
55.7,109.325,110.446
55.8,109.262,110.384
55.9,109.198,110.323
56,109.135,110.262
56.1,109.072,110.201
56.2,109.009,110.14
56.3,108.946,110.079
56.4,108.883,110.018
56.5,108.82,109.958
56.6,108.757,109.897
56.7,108.695,109.837
56.8,108.633,109.777
56.9,108.57,109.717
57,108.508,109.657
57.1,108.446,109.597
57.2,108.384,109.537
57.3,108.322,109.477
57.4,108.261,109.418
57.5,108.199,109.358
57.6,108.138,109.299
57.7,108.076,109.24
57.8,108.015,109.181
57.9,107.954,109.122
58,107.893,109.063
58.1,107.832,109.004
58.2,107.772,108.946
58.3,107.711,108.887
58.4,107.65,108.829
58.5,107.59,108.77
58.6,107.53,108.712
58.7,107.469,108.654
58.8,107.409,108.596
58.9,107.349,108.538
59,107.29,108.481
59.1,107.23,108.423
59.2,107.17,108.365
59.3,107.111,108.308
59.4,107.051,108.251
59.5,106.992,108.193
59.6,106.933,108.136
59.7,106.874,108.079
59.8,106.815,108.022
59.9,106.756,107.966
60,106.697,107.909
60.1,106.639,107.852
60.2,106.58,107.796
60.3,106.522,107.739
60.4,106.463,107.683
60.5,106.405,107.627
60.6,106.347,107.571
60.7,106.289,107.515
60.8,106.231,107.459
60.9,106.173,107.403
61,106.116,107.348
61.1,106.058,107.292
61.2,106.001,107.237
61.3,105.943,107.181
61.4,105.886,107.126
61.5,105.829,107.071
61.6,105.772,107.016
61.7,105.715,106.961
61.8,105.658,106.906
61.9,105.601,106.851
62,105.545,106.797
62.1,105.488,106.742
62.2,105.432,106.688
62.3,105.375,106.633
62.4,105.319,106.579
62.5,105.263,106.525
62.6,105.207,106.471
62.7,105.151,106.417
62.8,105.095,106.363
62.9,105.039,106.309
63,104.984,106.256
63.1,104.928,106.202
63.2,104.873,106.149
63.3,104.817,106.095
63.4,104.762,106.042
63.5,104.707,105.989
63.6,104.652,105.936
63.7,104.597,105.883
63.8,104.542,105.83
63.9,104.487,105.777
64,104.432,105.724
64.1,104.378,105.672
64.2,104.323,105.619
64.3,104.269,105.567
64.4,104.215,105.514
64.5,104.161,105.462
64.6,104.106,105.41
64.7,104.052,105.358
64.8,103.999,105.306
64.9,103.945,105.254
65,103.891,105.202
65.1,103.837,105.15
65.2,103.784,105.099
65.3,103.73,105.047
65.4,103.677,104.996
65.5,103.624,104.944
65.6,103.571,104.893
65.7,103.518,104.842
65.8,103.465,104.791
65.9,103.412,104.74
66,103.359,104.689
66.1,103.306,104.638
66.2,103.254,104.587
66.3,103.201,104.537
66.4,103.149,104.486
66.5,103.096,104.436
66.6,103.044,104.385
66.7,102.992,104.335
66.8,102.94,104.285
66.9,102.888,104.235
67,102.836,104.185
67.1,102.784,104.135
67.2,102.732,104.085
67.3,102.681,104.035
67.4,102.629,103.985
67.5,102.578,103.936
67.6,102.526,103.886
67.7,102.475,103.837
67.8,102.424,103.787
67.9,102.373,103.738
68,102.322,103.689
68.1,102.271,103.64
68.2,102.22,103.591
68.3,102.169,103.542
68.4,102.118,103.493
68.5,102.068,103.444
68.6,102.017,103.396
68.7,101.967,103.347
68.8,101.917,103.298
68.9,101.866,103.25
69,101.816,103.202
69.1,101.766,103.153
69.2,101.716,103.105
69.3,101.666,103.057
69.4,101.616,103.009
69.5,101.567,102.961
69.6,101.517,102.913
69.7,101.467,102.865
69.8,101.418,102.817
69.9,101.368,102.77
70,101.319,102.722
70.1,101.27,102.675
70.2,101.221,102.627
70.3,101.171,102.58
70.4,101.122,102.533
70.5,101.073,102.486
70.6,101.025,102.439
70.7,100.976,102.392
70.8,100.927,102.345
70.9,100.878,102.298
71,100.83,102.251
71.1,100.781,102.204
71.2,100.733,102.158
71.3,100.685,102.111
71.4,100.637,102.065
71.5,100.588,102.018
71.6,100.54,101.972
71.7,100.492,101.926
71.8,100.444,101.879
71.9,100.397,101.833
72,100.349,101.787
72.1,100.301,101.741
72.2,100.254,101.695
72.3,100.206,101.65
72.4,100.159,101.604
72.5,100.111,101.558
72.6,100.064,101.513
72.7,100.017,101.467
72.8,99.9697,101.422
72.9,99.9226,101.376
73,99.8756,101.331
73.1,99.8287,101.286
73.2,99.7819,101.241
73.3,99.7351,101.196
73.4,99.6884,101.151
73.5,99.6418,101.106
73.6,99.5953,101.061
73.7,99.5488,101.016
73.8,99.5024,100.972
73.9,99.4561,100.927
74,99.4099,100.882
74.1,99.3637,100.838
74.2,99.3177,100.793
74.3,99.2716,100.749
74.4,99.2257,100.705
74.5,99.1798,100.661
74.6,99.134,100.617
74.7,99.0883,100.572
74.8,99.0427,100.528
74.9,98.9971,100.485
75,98.9516,100.441
75.1,98.9061,100.397
75.2,98.8608,100.353
75.3,98.8155,100.31
75.4,98.7703,100.266
75.5,98.7251,100.223
75.6,98.6801,100.179
75.7,98.6351,100.136
75.8,98.5901,100.092
75.9,98.5453,100.049
76,98.5005,100.006
